sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1659708	2013	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659709	2013	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1659711	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659712	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659713	2013	EOD	Blood	Ib	1370	10	1	EOD_Blood
ERR1659714	2013	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659715	2013	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659716	2013	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659717	2013	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1659683	2013	EOD	Blood	III	1563	19	3	EOD_Blood
ERR1659719	2013	EOD	Blood	Ia	498	23	4	EOD_Blood
ERR1659720	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659721	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659722	2013	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1659723	2013	LOD	Blood	III	1339	17	6	LOD_Blood
ERR1659724	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659725	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659726	2013	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1659727	2013	EOD	Blood	Ib	8	10	1	EOD_Blood
