sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR1542158	I/R	NA	I/R	NA	NA	I/R	I/R	S	S	I/R	S	I/R	I/R	S	I/R
ERR1542159	I/R	NA	I/R	NA	NA	I/R	I/R	S	S	I/R	S	I/R	I/R	S	I/R
ERR1542160	I/R	NA	I/R	NA	NA	I/R	I/R	S	S	I/R	S	I/R	I/R	S	I/R
ERR1542161	I/R	NA	I/R	NA	NA	I/R	I/R	S	S	I/R	S	I/R	I/R	S	I/R
ERR1542162	I/R	NA	I/R	NA	NA	I/R	I/R	S	S	I/R	S	I/R	I/R	S	I/R
ERR1542163	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542165	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	S
ERR1542166	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR1542167	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	S	I/R	S	S
ERR1542168	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542169	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542170	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	S
ERR1542171	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	S	I/R	S	S
ERR1542172	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542173	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR1542174	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR1542175	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	S
ERR1542176	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542177	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542178	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542179	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542180	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542181	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542182	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542183	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542184	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542185	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542188	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
